product_name,review,rating,sentiment
Desk Lamp,Exceeded my expectations.,4,positive
Monitor,Absolutely love this product!,5,positive
Microphone,Poor value for money.,2,negative
Headphones,Exceeded my expectations.,5,positive
Desk Lamp,Decent for the price.,3,neutral
Charger,Stopped working after a week.,1,negative
Webcam,Doesn't work as expected.,1,negative
Printer,"Terrible quality, very disappointed.",1,negative
Headphones,Not too bad.,3,neutral
Charger,Would not buy again.,1,negative
Smartphone,Poor value for money.,2,negative
Charger,Decent for the price.,3,neutral
Printer,Great quality and works perfectly.,4,positive
Monitor,Highly recommend to everyone.,4,positive
Webcam,"Terrible quality, very disappointed.",1,negative
Tablet,Doesn't work as expected.,2,negative
Headphones,"It’s okay, nothing special.",3,neutral
Headphones,"Average experience, does the job.",3,neutral
Mouse,Poor value for money.,2,negative
Mouse,Would not buy again.,2,negative
Monitor,Fantastic and reliable.,5,positive
Charger,Highly recommend to everyone.,5,positive
Charger,"Average experience, does the job.",3,neutral
Desk Lamp,Exceeded my expectations.,4,positive
Monitor,Would not buy again.,1,negative
Desk Lamp,Fantastic and reliable.,5,positive
Desk Lamp,"It’s okay, nothing special.",3,neutral
Microphone,Exceeded my expectations.,5,positive
Monitor,Would not buy again.,2,negative
Desk Lamp,Highly recommend to everyone.,5,positive
Printer,Absolutely love this product!,4,positive
Desk Lamp,"Terrible quality, very disappointed.",1,negative
Smartphone,"Terrible quality, very disappointed.",1,negative
Desk Lamp,Neither good nor bad.,3,neutral
Charger,"Terrible quality, very disappointed.",2,negative
Microphone,Stopped working after a week.,1,negative
Microphone,Fantastic and reliable.,4,positive
Tablet,Stopped working after a week.,2,negative
Webcam,Not too bad.,3,neutral
Tablet,Decent for the price.,3,neutral
Charger,Absolutely love this product!,4,positive
Webcam,Stopped working after a week.,2,negative
Tablet,"It’s okay, nothing special.",3,neutral
Webcam,"Terrible quality, very disappointed.",1,negative
Webcam,Decent for the price.,3,neutral
Microphone,Stopped working after a week.,1,negative
Microphone,Decent for the price.,3,neutral
Smartphone,Poor value for money.,2,negative
Charger,Exceeded my expectations.,4,positive
Printer,"Average experience, does the job.",3,neutral
Mouse,Exceeded my expectations.,4,positive
Charger,Absolutely love this product!,4,positive
Headphones,Highly recommend to everyone.,4,positive
Headphones,Stopped working after a week.,2,negative
Charger,Decent for the price.,3,neutral
Smartphone,Great quality and works perfectly.,4,positive
Printer,"Terrible quality, very disappointed.",1,negative
Smartphone,"It’s okay, nothing special.",3,neutral
Printer,Neither good nor bad.,3,neutral
Monitor,Stopped working after a week.,1,negative
Mouse,"Average experience, does the job.",3,neutral
Tablet,Fantastic and reliable.,5,positive
Webcam,Doesn't work as expected.,1,negative
Charger,"Average experience, does the job.",3,neutral
Printer,Doesn't work as expected.,1,negative
Charger,Highly recommend to everyone.,4,positive
Webcam,"It’s okay, nothing special.",3,neutral
Tablet,Exceeded my expectations.,5,positive
Mouse,Doesn't work as expected.,1,negative
Mouse,Not too bad.,3,neutral
Desk Lamp,"It’s okay, nothing special.",3,neutral
Charger,Absolutely love this product!,5,positive
Microphone,"It’s okay, nothing special.",3,neutral
Tablet,"It’s okay, nothing special.",3,neutral
Microphone,Would not buy again.,2,negative
Desk Lamp,Stopped working after a week.,2,negative
Microphone,"Average experience, does the job.",3,neutral
Printer,Poor value for money.,2,negative
Printer,"Average experience, does the job.",3,neutral
Webcam,Neither good nor bad.,3,neutral
Printer,Decent for the price.,3,neutral
Webcam,Highly recommend to everyone.,5,positive
Desk Lamp,"Terrible quality, very disappointed.",2,negative
Headphones,Great quality and works perfectly.,4,positive
Tablet,Decent for the price.,3,neutral
Mouse,"Terrible quality, very disappointed.",1,negative
Headphones,Great quality and works perfectly.,4,positive
Tablet,Doesn't work as expected.,2,negative
Charger,Exceeded my expectations.,5,positive
Desk Lamp,Highly recommend to everyone.,4,positive
Mouse,Exceeded my expectations.,4,positive
Tablet,Poor value for money.,1,negative
Monitor,"It’s okay, nothing special.",3,neutral
Webcam,Not too bad.,3,neutral
Mouse,"Average experience, does the job.",3,neutral
Charger,"Average experience, does the job.",3,neutral
Webcam,Highly recommend to everyone.,5,positive
Webcam,Would not buy again.,1,negative
Charger,Stopped working after a week.,2,negative
Smartphone,"Terrible quality, very disappointed.",1,negative
